15,29.23,18.11,27.600006103515625,18.78548240661621
30,29.16,17.51,25.225006103515625,18.37845802307129
45,25.1,15.83,23.162506103515625,17.827892303466797
60,29.1,17.15,24.100006103515625,18.751880645751953
75,31.04,19.8,25.225006103515625,18.103219985961914
90,29.04,16.67,23.412506103515625,18.05646324157715
105,29.04,16.44,22.475006103515625,17.683815002441406
120,28.48,16.54,23.100006103515625,17.773784637451172
135,31.54,15.79,22.662506103515625,17.875213623046875
150,29.29,17.53,23.412506103515625,19.772624969482422
165,30.66,17.38,22.912506103515625,19.421344757080078
180,30.29,16.93,22.600006103515625,18.953041076660156
195,29.48,16.66,22.850006103515625,18.64976692199707
210,26.66,16.3,22.475006103515625,18.608875274658203
225,30.98,16.91,22.287506103515625,18.506107330322266
240,32.66,17.52,21.787506103515625,17.087059020996094
255,31.23,17.0,22.287506103515625,17.864974975585938
270,30.16,16.63,21.662506103515625,19.305421829223633
285,23.85,16.69,23.100006103515625,18.211048126220703
300,30.35,16.83,23.350006103515625,18.399677276611328
315,31.79,16.64,23.350006103515625,18.31307029724121
330,31.85,16.63,23.412506103515625,18.34958839416504
345,31.98,16.62,23.350006103515625,18.35256576538086
360,31.91,16.9,23.412506103515625,18.600006103515625
375,32.29,16.84,23.350006103515625,18.63036346435547
390,32.1,16.92,23.412506103515625,18.76325035095215
405,31.48,17.0,23.412506103515625,18.891374588012695
420,32.35,17.34,23.475006103515625,19.163724899291992
436,32.29,17.26,23.412506103515625,19.17182159423828
451,31.79,17.29,23.350006103515625,19.22955894470215
466,31.6,17.32,23.225006103515625,19.303903579711914
481,31.91,17.58,23.350006103515625,19.496315002441406
496,32.04,17.55,23.287506103515625,19.54420280456543
511,32.1,17.55,23.162506103515625,19.5769100189209
526,31.73,17.67,23.225006103515625,19.715660095214844
541,31.48,18.07,23.287506103515625,20.02696990966797
556,31.73,18.04,23.225006103515625,20.022743225097656
571,32.04,18.11,23.225006103515625,20.082565307617188
586,32.16,18.18,23.225006103515625,20.147476196289062
601,32.48,18.63,23.912506103515625,20.457416534423828
616,32.16,18.67,24.225006103515625,20.510988235473633
631,31.73,18.83,24.787506103515625,20.65732765197754
646,31.73,18.93,25.162506103515625,20.722415924072266
661,32.16,19.29,25.662506103515625,20.956998825073242
676,32.35,19.3,25.975006103515625,20.991731643676758
691,32.41,19.34,26.225006103515625,21.015987396240234
706,32.29,19.47,26.412506103515625,21.122356414794922
721,32.35,19.72,26.850006103515625,21.26655387878418
736,31.79,19.7,26.975006103515625,21.25009536743164
751,31.6,19.73,27.287506103515625,21.260541915893555
766,31.73,19.82,27.475006103515625,21.30753517150879
781,32.1,20.05,27.600006103515625,21.436315536499023
796,32.29,20.07,27.787506103515625,21.481910705566406
811,32.23,20.07,27.912506103515625,21.503637313842773
826,32.16,20.12,28.037506103515625,21.515541076660156
841,31.85,20.31,28.225006103515625,21.63789176940918
857,31.66,20.51,28.600006103515625,21.842863082885742
872,32.23,20.58,28.600006103515625,21.92244529724121
887,32.35,20.65,28.725006103515625,21.9675350189209
902,32.41,20.79,28.912506103515625,22.026790618896484
917,32.29,20.9,28.850006103515625,22.143577575683594
932,32.1,20.88,28.912506103515625,22.12188148498535
947,32.1,20.94,28.850006103515625,22.178844451904297
962,31.98,20.96,28.975006103515625,22.153100967407227
977,31.98,21.11,29.037506103515625,22.261314392089844
992,31.66,21.07,28.850006103515625,22.234262466430664
1007,31.85,21.06,28.725006103515625,22.234024047851562
1022,32.16,21.11,28.600006103515625,22.260690689086914
1037,31.98,21.26,28.912506103515625,22.36628532409668
1052,32.29,21.21,28.912506103515625,22.330570220947266
1067,32.29,21.19,28.850006103515625,22.297534942626953
1082,32.41,21.3,28.850006103515625,22.400869369506836
1097,32.48,21.53,28.912506103515625,22.574052810668945
1112,32.35,21.48,28.850006103515625,22.532564163208008
1127,32.04,21.47,28.850006103515625,22.524559020996094
